Category,Title,Price,"Sale Price"
napkins,Cocktail,1,0.6
"cups + plates","Shot Glasses",3.4,2.53
napkins,Luncheon,1,0.57
napkins,"Napkin Rings",1,0.56
"masks + wellness","Disposable Masks",6.8,3.5
matches,Classic,2.2,1.5
invitations,"Business Cards",6,2.51
matches,Mini,2.2,1.5
barware,"Stir Sticks",1,0.5
matches,Candle,2.2,1.5
invitations,A7,6,2.51
matches,Exploding,2.2,1.5
"cups + plates","Frost Flex",3.4,2.5
"cups + plates","Colored Frost Flex",3.4,2.5
gifts,Holiday,3.44,2.6
"cups + plates",Styrofoam,3.4,2.505
"bags, tags + favors","Cake Boxes",9.1,5.5
"cups + plates",Stadium,3.4,2.54
"cups + plates","Can Coolers",3.4,2.52
"masks + wellness","Hand Sanitizer",6.8,3.5
"masks + wellness","Social Distancing",6.8,3.5
"bags, tags + favors","Favor Bags",9.1,5.5
"bags, tags + favors","Gift Bags",9.1,5.5
gifts,"Poker Box",3.44,2.53
"bags, tags + favors","Satin Ribbon",9.1,5.5
"bags, tags + favors","Tea Favors",9.1,5.5
napkins,Photo,1,0.58
barware,"Classic Coasters",1,0.5
barware,"Leather Coasters",1,0.5
matches,Cigar,2.2,1.5
barware,"Tabletop Signs",1,0.5
gifts,"Party Favors",3.44,2.5
gifts,"Grab and Go",3.48,2.5
gifts,"Gift Cards",3.44,2.44
invitations,Stationery,6,2.51
barware,"Roller Coasters",1,0.5
invitations,"Recipe Cards",6,2.51
invitations,RSVP,6.08,2.51
napkins,Dinner,1,0.59